1, 1, 445544, 0.30707961320877075, 0.9164000153541565
1, 2, 445544, 0.2868863642215729, 0.9200000166893005
1, 0, 445544, 0.2824070453643799, 0.9147999882698059
1, 3, 445544, 0.26378291845321655, 0.9228000044822693
2, 1, 445544, 0.30707961320877075, 0.9164000153541565
2, 2, 445544, 0.2868863642215729, 0.9200000166893005
2, 0, 445544, 0.2824070453643799, 0.9147999882698059
2, 3, 445544, 0.26378291845321655, 0.9228000044822693
3, 1, 445544, 0.30707961320877075, 0.9164000153541565
3, 2, 445544, 0.2868863642215729, 0.9200000166893005
3, 0, 445544, 0.2824070453643799, 0.9147999882698059
3, 3, 445544, 0.26378291845321655, 0.9228000044822693
1, 0, 445544, 0.28209975361824036, 0.9201680421829224
1, 1, 445544, 0.29954659938812256, 0.9177671074867249
1, 2, 445544, 0.3058467507362366, 0.9123649597167969
1, 5, 445544, 0.3067665100097656, 0.9141656756401062
1, 4, 445544, 0.29139819741249084, 0.9165666103363037
1, 3, 445544, 0.2720085084438324, 0.9225690364837646
2, 0, 445544, 0.28209978342056274, 0.9201680421829224
2, 1, 445544, 0.29954659938812256, 0.9177671074867249
2, 2, 445544, 0.3058467507362366, 0.9123649597167969
2, 5, 445544, 0.3067665100097656, 0.9141656756401062
2, 4, 445544, 0.2913982570171356, 0.9165666103363037
2, 3, 445544, 0.2720085084438324, 0.9225690364837646
3, 0, 445544, 0.28209975361824036, 0.9201680421829224
3, 5, 445544, 0.3067665100097656, 0.9141656756401062
3, 2, 445544, 0.3058467507362366, 0.9123649597167969
3, 4, 445544, 0.2913982570171356, 0.9165666103363037
3, 3, 445544, 0.2720085084438324, 0.9225690364837646
3, 1, 445544, 0.29954659938812256, 0.9177671074867249
4, 0, 445544, 0.28209975361824036, 0.9201680421829224
4, 1, 445544, 0.29954659938812256, 0.9177671074867249
4, 2, 445544, 0.3058467507362366, 0.9123649597167969
4, 5, 445544, 0.3067665100097656, 0.9141656756401062
4, 4, 445544, 0.2913982570171356, 0.9165666103363037
4, 3, 445544, 0.2720085084438324, 0.9225690364837646
